id,brand,model,size,color,lobes,weight,strength,lower,upper,range,usable_lower,usable_upper6,usable_override,usable_upper
wh1,Wild Country,Helium,1,gold,4,95,12,19.71,31.73,12.02,20.912,26.922,0,27.6951264
whk,Wild Country,Helium,1.5,silver,4,104,12,23.59,37.98,14.39,25.029,32.224,0,33.5868769
wh2,Wild Country,Helium,2,red,4,109,12,28.41,45.73,17.32,30.142,38.802,0,41.0955144
who,Wild Country,Helium,2.5,gold,4,117,12,34.4,55.39,20.99,36.499,46.994,0,50.1425
wh3,Wild Country,Helium,3,purple,4,145,12,41.9,67.47,25.57,44.457,57.242,0,61.0775
whp,Wild Country,Helium,3.5,blue,4,171,12,51.34,82.65,31.31,54.471,70.126,0,74.8225
wh4,Wild Country,Helium,4,silver,4,208,12,63.25,101.83,38.58,67.108,86.398,0,92.185
wt5,Wild Country,Tech Friend,5,red,4,339,14,84,138,54,89.4,116.4,0,124.5
wt6,Wild Country,Tech Friend,6,green,4,533,14,118,194,76,125.6,163.6,0,175
wz1,Wild Country,Zero,1,purple,4,25,3,5.5,7.8,2.3,5.73,6.88,0,6.88
wz2,Wild Country,Zero,2,green,4,32,4,7,9.8,2.8,7.28,8.68,0,8.68
wz3,Wild Country,Zero,3,silver,4,44,6,8.5,12.2,3.7,8.87,10.72,0,10.72
wz4,Wild Country,Zero,4,gold,4,50,6,10.3,16,5.7,10.87,13.72,0,13.72
wz5,Wild Country,Zero,5,blue,4,66,9,13,19,6,13.6,16.6,0,16.636
wz6,Wild Country,Zero,6,red,4,70,9,17,24,7,17.7,21.2,0,21.431
